date,ghi_kwh_m2_day,temp_c,wind_ms
2023-11-02,4.1614,25.56,3.69
2023-11-03,4.4786,25.87,2.14
2023-11-04,4.5286,25.97,2.29
2023-11-05,3.9912,26.05,2.22
2023-11-06,4.2194,24.82,2.49
2023-11-07,4.7798,23.37,3.51
2023-11-08,5.1554,23.2,2.82
2023-11-09,5.215,21.69,2.32
2023-11-10,4.6697,21.82,1.66
2023-11-11,3.2218,21.6,2.17
2023-11-12,4.5286,22.94,1.92
2023-11-13,4.1074,22.35,2.5
2023-11-14,4.1011,23.74,3.45
2023-11-15,3.0475,23.95,4.69
2023-11-16,3.7006,23.12,3.8
2023-11-17,4.1508,21.93,3.15
2023-11-18,4.5864,21.01,2.13
2023-11-19,3.2069,21.7,6.0
2023-11-20,2.1775,20.77,4.63
2023-11-21,4.1767,21.84,3.07
2023-11-22,3.4774,19.46,4.69
2023-11-23,3.6326,20.68,3.31
2023-11-24,3.7603,21.65,4.33
2023-11-25,3.9564,19.85,3.4
2023-11-26,4.3649,22.07,4.87
2023-11-27,4.3661,25.07,3.94
2023-11-28,4.0099,22.06,3.9
2023-11-29,4.2929,18.14,2.94
2023-11-30,4.4426,18.2,1.81
2023-12-01,4.4578,19.51,1.55
2023-12-02,4.3517,18.55,1.76
2023-12-03,3.8614,18.9,1.99
2023-12-04,3.7469,18.02,2.42
2023-12-05,4.6188,17.29,2.24
2023-12-06,4.7078,17.29,2.15
2023-12-07,4.6565,18.21,2.57
2023-12-08,4.5578,18.58,3.07
2023-12-09,3.8813,17.01,4.16
2023-12-10,4.5468,17.95,2.7
2023-12-11,4.4477,18.63,2.71
2023-12-12,4.2034,17.65,3.09
2023-12-13,2.5421,18.21,6.04
2023-12-14,4.7009,14.68,4.72
2023-12-15,4.615,12.79,4.13
2023-12-16,4.7182,11.93,3.5
2023-12-17,4.5202,12.45,3.0
2023-12-18,4.0392,15.24,2.69
2023-12-19,4.1719,14.7,3.35
2023-12-20,4.4119,15.15,2.46
2023-12-21,4.4244,14.99,3.39
2023-12-22,4.2811,17.12,4.93
2023-12-23,2.9352,20.13,5.61
2023-12-24,3.6996,17.63,3.35
2023-12-25,3.8678,19.5,3.89
2023-12-26,4.081,18.11,3.39
2023-12-27,4.1705,17.95,3.42
2023-12-28,3.8707,18.41,4.04
2023-12-29,2.7818,16.42,3.68
2023-12-30,3.3391,17.02,4.57
2023-12-31,3.4591,17.26,3.46
